id,birthdate,bsn,iban,name,postcode,house_number,has_subscription,has_insurance,renting,bike_id,revenue,satisfaction
21,1982-08-20,987234018,QRBM8114923195,Michael van Wel,5208JD,3,False,False,False,,0.0,9.0
22,1988-08-23,805319244,DKKQ8637605720,Nick Blaak,6878PC,79,False,False,False,,0.0,9.0
23,1984-12-23,053276498,ISNR6280517610,Lizz Koeman-Buijs,3793 PO,8,False,False,False,,0.0,9.0
24,1967-05-11,407158625,WLWM8823723511,Jan van 't Wel,7203XC,630,False,False,False,,0.0,9.0
25,1978-10-30,034719623,XTTK3047042756,Elise Boer,4550 IJ,758,False,False,False,,0.0,9.0
26,1972-05-25,648013728,IGZJ5250807983,Naud van Venrooy,2904 HJ,017,False,False,False,,0.0,9.0
27,1984-01-05,618752432,ELGZ7100179652,Silke Weylant,8783 IW,2,False,False,False,,0.0,9.0
28,1991-06-04,268597418,AYNC2669927763,Luc Klerks,6475TT,8,False,False,False,,0.0,9.0
29,1990-11-25,185230490,AGOT3687882807,Wessel Cammel-Bruynzeels,9061PT,969,False,False,False,,0.0,9.0
30,1997-06-04,419653028,TDYL2395461549,Morris Werdes-Oemencs,9744XY,62,False,False,False,,0.0,9.0
31,1983-03-30,739452162,VHOH7453304762,Esther de Beer,4097 HL,4,False,False,False,,0.0,9.0
32,1973-04-02,657890236,BGPX4128919955,Jens de Vroege,5949 JL,842,False,False,False,,0.0,9.0
33,1968-08-04,328560972,XJDR8592558059,Kyan Schakelaar,7032OO,589,False,False,False,,0.0,9.0
34,1971-02-16,395210483,BNWW9717751002,Jayson Gervais-van der Loo,8188ZS,30,False,False,False,,0.0,9.0
35,2002-05-30,628351975,OLAR2040223340,Hamza Robbrechts Bruijne,7246 RV,3,False,False,False,,0.0,9.0
36,1985-11-20,765294187,QEZL5125877417,Ella Schakelaar,2046 IU,41,False,False,False,,0.0,9.0
37,1965-04-24,362190756,BLOE6531743835,Megan Krabbe,5626ZY,8,False,False,False,,0.0,9.0
38,1964-04-19,695017421,TLQN9895911215,Adriana van Dam,2944 BH,505,False,False,False,,0.0,9.0
39,1981-09-09,692534702,NCDU4489543461,Lucy Rouwhorst,1471LI,4,False,False,False,,0.0,9.0
40,1968-06-20,732019849,MOCD6228790141,Pippa Haack,5383 JV,55,False,False,False,,0.0,9.0
41,1967-02-02,785142368,HVWO7837270116,Matthias die Witte,3092DZ,51,False,False,False,,0.0,9.0
42,1984-06-15,390625875,WXGX4650258582,Ryan van de Water,4993 CG,9,False,False,False,,0.0,9.0
43,1971-07-09,482036710,IDNB6683800694,Elin van Gemert,7409PT,164,False,False,False,,0.0,9.0
44,1981-08-19,521347907,PDFO8872645498,Bradley Bouthoorn-Zwart,2320 YM,8,False,False,False,,0.0,9.0
45,1980-12-19,607312981,KDQB2543998140,Owen de Wit,4738FR,662,False,False,False,,0.0,9.0
46,1988-12-13,521970349,RUXZ8607246740,Maya Vial-Rijcken,6515 KE,62,False,False,False,,0.0,9.0
47,1995-04-30,960782539,TEBW4783721866,Laurens Doorhof,8882 CF,780,False,False,False,,0.0,9.0
48,1981-06-28,542678135,BZCF0846756957,Catharina Niermann,1718 NB,329,False,False,False,,0.0,9.0
49,1995-12-29,384759166,HEJK3347359567,Benjamin Boers,4360GM,487,False,False,False,,0.0,9.0
50,1993-08-09,295146308,TZVW3513312396,Mare de Boer,3669 DT,111,False,False,False,,0.0,9.0
51,1963-02-27,531984606,YKKK9232714637,Ize van Zwaben,9209 PW,546,False,False,False,,0.0,9.0
52,1974-10-22,728395642,QXOI0626081954,Bilal Peronne-van der Steen,1060WA,903,False,False,False,,0.0,9.0
53,1974-03-15,736048510,CTJW6226699573,Phileine van Formbach,2096 PP,67,False,False,False,,0.0,9.0
54,1998-09-24,172643090,IZMO9218606794,Fiene van Velzen-Texier,9180 SR,99,False,False,False,,0.0,9.0
55,1977-02-21,493265788,VPAT7652767776,Elena Adryaens,7184 EB,50,False,False,False,,0.0,9.0
56,1981-10-13,708425616,MNND5447806800,Giovanni Langevoort,6034 SU,7,False,False,False,,0.0,9.0
57,1985-08-03,837041569,RBJL9775095523,Michelle Scuylenborchs,9931QS,485,False,False,False,,0.0,9.0
58,1985-12-25,693754102,NZKQ5639392361,Danique Marceron,2409AU,23,False,False,False,,0.0,9.0
59,1968-08-23,428759312,HDAQ0038132852,Nora Post,5014 XZ,042,False,False,False,,0.0,9.0
60,2007-03-03,764518021,LHKQ7479686484,Lex de Nijs,9391 FN,8,False,False,False,,0.0,9.0
61,1964-10-29,310926749,TEUF6330248388,Kian Kleijse-Symons,6868LC,40,False,False,False,,0.0,9.0
62,1968-02-05,240165391,SHQC4027652700,Floris Ariens Ansems,8853OZ,12,False,False,False,,0.0,9.0
63,2002-10-27,923710644,DUCT9222317029,Thijn Westerburg,2245 EZ,18,False,False,False,,0.0,9.0
64,1979-02-12,685942132,AGCO8148864969,Alexander Huijben,7107JL,035,False,False,False,,0.0,9.0
65,1968-12-08,857263912,HKQS1737717881,Julian Blom,8903 UR,52,False,False,False,,0.0,9.0
66,1956-12-07,273081548,ZROP4932473479,Joëlle de Graaf-Bökenkamp,3244DV,748,False,False,False,,0.0,9.0
67,1956-05-25,026385740,DBAP0719758597,Florian Hoelen,3182SE,1,False,False,False,,0.0,9.0
68,1970-04-07,468921059,DBOA7917488949,Jasmijn Knuf-Fechant,6881KV,576,False,False,False,,0.0,9.0
69,2003-06-18,452061970,AEFW9775537130,Twan Vos,7148 MB,798,False,False,False,,0.0,9.0
70,1968-09-24,174360289,ZMLD2582726262,Tijmen Middelkoop,6136LN,26,False,False,False,,0.0,9.0
71,1961-05-13,958123408,HVDF1230123862,Cornelis Claesner-Goedhart,2477 TE,5,False,False,False,,0.0,9.0
72,1988-08-13,076391450,OFDT6792598738,Emily Westermann-Vink,8287PY,370,False,False,False,,0.0,9.0
73,1993-01-13,986475324,WSBJ6450046241,Niels Bosch-Heymans,6886KD,994,False,False,False,,0.0,9.0
74,1966-08-07,693541829,QGAZ5197748745,Jordy Rijn,2394AD,5,False,False,False,,0.0,9.0
75,1981-08-22,890132744,SGXT9585411788,Linn van Maasgouw-Broeckx,3168 MC,4,False,False,False,,0.0,9.0
76,1968-08-11,869240511,QNGD8867732495,Maud Nollee,4114AE,0,False,False,False,,0.0,9.0
77,2000-09-12,049832712,TPVA2089451319,Giovanni van Wessex,3119ZC,921,False,False,False,,0.0,9.0
78,1988-07-03,769204387,HGYG0397213209,Bilal van de Weterink-van Gastel,8547 CB,6,False,False,False,,0.0,9.0
79,1976-02-19,160427836,VQBN4120184041,Joep Steinmeiern,8428 HC,172,False,False,False,,0.0,9.0
80,1974-05-19,506798239,NELB5262067405,Elise Mathol,5316 YB,3,False,False,False,,0.0,9.0
81,1996-02-03,592134763,ERSC5007969699,Senna Verda-Goedhart,3801TC,743,False,False,False,,0.0,9.0
82,1999-09-14,039726186,EZXF7954644384,Dylano van Susa,1236NA,8,False,False,False,,0.0,9.0
83,1979-04-30,578419300,XSLA6604097939,Dave van 't Houteveen,7527JY,25,False,False,False,,0.0,9.0
84,1976-08-28,371046853,OGDC6388345475,Jayda Heijmans,6484 QU,61,False,False,False,,0.0,9.0
85,1990-04-09,640728157,XMHR2988551851,Maria Scheer,4776 QG,4,False,False,False,,0.0,9.0
86,1979-11-21,815076393,UAHI3134219894,Anouk Blom,2734 FI,15,False,False,False,,0.0,9.0
87,1979-07-31,692385411,OITI9838268975,Vince Hellevoort,6157MK,0,False,False,False,,0.0,9.0
88,1976-11-24,683471521,LNKL0494268812,Felix van der Horst,2951 QQ,7,False,False,False,,0.0,9.0
89,1957-06-29,897403629,XEFH4731118275,Joris Heymans-van der Veiver,8339 LF,67,False,False,False,,0.0,9.0
90,2004-08-09,012793863,VZUL9513637952,Ibrahim Willems-Nedermeijer,4628 DM,933,False,False,False,,0.0,9.0
91,1956-09-22,608729140,QOSE0031136244,Dylan van Beeck,4295WN,290,False,False,False,,0.0,9.0
92,1961-02-23,932654782,BGLV5236630082,Zoey Roodesteijn,7534RE,738,False,False,False,,0.0,9.0
93,1968-03-27,425976385,SVHN8785926633,Wesley van der Laar-van der Avoirt,6289HY,8,False,False,False,,0.0,9.0
94,1999-10-05,830795248,TJBK5842273871,Dave Wouters van Eijndhoven,6334ED,157,False,False,False,,0.0,9.0
95,1978-01-29,491387623,GDEL4526576630,Aron Boudewijns-Versluijs,1118 OD,44,False,False,False,,0.0,9.0
96,1965-02-09,750236188,YJZV8086048012,Mohamed Rijks-de Vries,3771DT,521,False,False,False,,0.0,9.0
97,2004-01-26,430956125,VGQQ3448258688,Noëlle Stamrood,6679 UG,14,False,False,False,,0.0,9.0
98,1996-10-28,941875301,TMCQ2655913915,Milo van den Eijssel,4653 NV,8,False,False,False,,0.0,9.0
99,1957-10-13,105268975,WQGX5122312830,Ivy Noordijk-van der Pluijm,1751DO,55,False,False,False,,0.0,9.0
100,1960-08-19,430928579,QKPH3642338201,Joël van Dongen,7709OM,9,False,False,False,,0.0,9.0
101,1960-06-12,028357966,PHQS1964968685,Loes van Noort,7913DK,37,False,False,False,,0.0,9.0
102,1960-07-08,841523071,YHVQ5712835133,Lotte van Arkel-van Santen,7343JQ,55,False,False,False,,0.0,9.0
103,1990-03-31,740936128,ERZP2042551093,Vigo Charon,9947 TT,3,False,False,False,,0.0,9.0
104,2007-07-17,908214571,MMKZ8404065259,Inaya Hemma van Allemanië,6413AV,307,False,False,False,,0.0,9.0
105,2001-11-23,913458673,SLHX0090369092,Berend Huisman,3478VT,4,False,False,False,,0.0,9.0
106,1979-03-14,468901371,NGNZ2815305920,Julie Lether-Woudenberg,4309EQ,12,False,False,False,,0.0,9.0
107,1966-06-14,308657214,SLKX9582341148,Danique Meeres,7737 FU,480,False,False,False,,0.0,9.0
108,1989-09-12,364508176,NZJN3803118189,Lotte Walsteijn,5772 ZT,023,False,False,False,,0.0,9.0
109,1971-03-16,675843121,NLAR4407360690,Loek Slingerland,6312OK,285,False,False,False,,0.0,9.0
110,1993-08-15,680194733,CDKU5210848368,Hugo Verheuvel-Winnrich,7373 BX,724,False,False,False,,0.0,9.0
111,1967-04-24,451960385,JLQM2536832169,Robin van Geffen,9405 HU,42,False,False,False,,0.0,9.0
112,1970-01-03,549802630,ECQV3513120414,Sophie de Bruin,3782NG,4,False,False,False,,0.0,9.0
113,1984-09-12,681725497,BKKS0079006584,Senn Mol,3736MQ,1,False,False,False,,0.0,9.0
114,1960-10-10,267403951,ONRX7762874921,Joost Kallen-Stook,3006WS,9,False,False,False,,0.0,9.0
115,1995-09-09,092813641,SBSQ4393742507,Yasmin Huls,8446ZN,11,False,False,False,,0.0,9.0
116,1969-08-22,059824736,ZBNC9933815632,Fem Totwiller,5080 QG,0,False,False,False,,0.0,9.0
117,1963-07-26,724895310,XBYH6271335725,Bilal Brievingh,3081 TJ,234,False,False,False,,0.0,9.0
118,1982-07-30,523641072,DIAP5353307413,Justin Vrancken,6452 AX,4,False,False,False,,0.0,9.0
119,1958-12-17,924703581,SNPW3304693829,Adam van Wickerode-Eckhardt,3768 TC,3,False,False,False,,0.0,9.0
120,1997-05-11,268375197,DROL6867732152,Stefan van der Heiden,4424WS,670,False,False,False,,0.0,9.0
121,1989-01-23,840721961,ZNLH1222404925,Lucy Driessen-Lommert,6897CI,162,False,False,False,,0.0,9.0
122,1967-05-30,029753867,DZCC6285633582,Ceylin Perrono,5384XH,091,False,False,False,,0.0,9.0
123,1976-09-29,329046718,XPBO3248729991,Danique van Bovene-Alpaidis,5325 ZK,01,False,False,False,,0.0,9.0
124,1990-02-23,568421371,THXC6883618384,Mia Uphaus-Vink,7295 ES,65,False,False,False,,0.0,9.0
125,1987-10-02,613294786,ACWA3848861310,Wout van Mispelen,3009XP,200,False,False,False,,0.0,9.0
126,1980-10-24,528703419,KUGJ6467117829,Lieve Groenestein,5272UF,372,False,False,False,,0.0,9.0
127,2005-12-28,567023497,OQQR4477508039,Jayden Wolzak,6933 GF,238,False,False,False,,0.0,9.0
128,1989-10-28,213607955,RKDQ5462063120,Ivan Lathrope,5129OL,66,False,False,False,,0.0,9.0
129,1989-07-08,140783520,ZLAZ7766806271,Jens Jacquot,7095 NV,007,False,False,False,,0.0,9.0
130,1964-06-01,173408564,NCQB7119881095,Benthe Slingerland,7235RA,53,False,False,False,,0.0,9.0
131,1961-08-01,354167984,EPKW8149814200,Riley Buijs,6795 HJ,93,False,False,False,,0.0,9.0
132,1995-03-21,631045727,VZLW9770447928,Riley Aertsz,5831 SZ,829,False,False,False,,0.0,9.0
133,1974-07-04,657849303,BZFO6751471833,Juul 's Gravensande,9910PE,0,False,False,False,,0.0,9.0
134,1974-05-14,974152031,TMJB2932314867,Fiene Rehorst,4094 YB,64,False,False,False,,0.0,9.0
135,2003-03-03,146398075,YVWT9541605884,Elisa Godfrey van Alemannië,6996MG,23,False,False,False,,0.0,9.0
136,2000-01-13,261495835,SVCT0031687968,Veerle van Noort-de Pauw,4376 PC,910,False,False,False,,0.0,9.0
137,1969-07-12,785306912,THTQ6922124430,Livia Bosch,4143SY,3,False,False,False,,0.0,9.0
138,1990-09-22,823519466,DHPO0265666348,Tom van de Biesenbos,4667EF,609,False,False,False,,0.0,9.0
139,1977-07-02,692415087,AHKU8003840021,Tijn Olthof,6473UV,38,False,False,False,,0.0,9.0
140,1982-12-19,481390674,SRHI9370668374,Jolie Verhoeven,9794SX,84,False,False,False,,0.0,9.0
141,1975-02-25,940582168,MXTA7116592916,Job Loreal,1635LB,83,False,False,False,,0.0,9.0
142,1990-12-10,901468320,WPZI4803904659,Lizzy Maas,1673AR,114,False,False,False,,0.0,9.0
143,1979-12-01,497356120,XIVT1958088077,Imke Lagerweij,5529 GP,87,False,False,False,,0.0,9.0
144,1970-12-01,891205342,ZHTT6814924260,Jill van Susa-de Vries,7960 CO,9,False,False,False,,0.0,9.0
145,1956-11-13,236054818,UYYZ7028854409,Pieter van Venrooy-Weijters,9915 AD,778,False,False,False,,0.0,9.0
146,1956-05-05,386210792,MYWV5449238853,Aimée Steenbeek-Dijkman,7000SM,6,False,False,False,,0.0,9.0
147,1996-06-19,456783106,TIEW5599663456,Aron van den Broek,3072DP,32,False,False,False,,0.0,9.0
148,1989-12-26,624839515,JBZP9110703460,Florian Rotteveel,4344 ID,1,False,False,False,,0.0,9.0
149,1977-05-25,375420861,ICLW3024810834,Aaliyah van der Wal-van Nes,8756 FX,9,False,False,False,,0.0,9.0
150,1976-10-31,705481967,QMSJ0984469680,Sam Langevoort,4872AW,37,False,False,False,,0.0,9.0
151,1978-11-25,987261307,CUBP7818691897,Ivy de la Fleche-van der Laarse,4935VH,52,False,False,False,,0.0,9.0
152,2006-09-14,608213974,KFVY9907935675,Eliza Sas,9036 BD,223,False,False,False,,0.0,9.0
153,1988-08-24,190437868,LKQZ5366942085,Sem Goudriaan,2401LL,9,False,False,False,,0.0,9.0
154,2005-07-31,713094588,QYYJ5454392435,Morris van Grondelle,1939EH,855,False,False,False,,0.0,9.0
155,1985-06-06,392514874,WZRX0900609656,Pieter van den Nyeuwenhuysen-Aeije,3926FV,5,False,False,False,,0.0,9.0
156,2007-08-15,456830170,ZMMX7521384446,Victoria van Bunschoten,9114RM,851,False,False,False,,0.0,9.0
157,2005-01-09,724698103,MDHM1485427368,Jasmijn Willemsen-van de Darnau,8443 AW,41,False,False,False,,0.0,9.0
158,1974-01-01,314628794,ZHNO4036646885,Emily Otto,7289RL,569,False,False,False,,0.0,9.0
159,1958-08-06,326097156,TTCF6957604485,Floortje van de Veen-van der Berg,3269 YF,1,False,False,False,,0.0,9.0
160,1972-11-25,620593143,RUHS0973545291,Loes Estey,3040YV,99,False,False,False,,0.0,9.0
161,1980-11-18,869025417,WPLE5206608099,Elise Ouwerkerk,3410HM,0,False,False,False,,0.0,9.0
162,1998-03-15,804729359,SOVQ9085721759,Thomas Verhagen,2113 RD,52,False,False,False,,0.0,9.0
163,1957-12-16,140392865,GAZS3498050384,Niek van Berkum,3712 KD,2,False,False,False,,0.0,9.0
164,2006-11-15,492803171,FCRF7902888501,Jacob Miltenburg,4538BU,169,False,False,False,,0.0,9.0
165,1980-06-21,159284363,FENG6301491843,Marit van Hostaden,1440 WJ,110,False,False,False,,0.0,9.0
166,1979-02-20,054386123,CABR2609216288,Naud van der Lede-de Hoogh,4555ZO,4,False,False,False,,0.0,9.0
167,1994-08-02,710298456,JEUI3100075060,Lize Louws,6695MA,2,False,False,False,,0.0,9.0
168,1971-09-09,942361581,WJLI7637942235,Oscar Lansink,1794LH,72,False,False,False,,0.0,9.0
169,1957-02-21,237654982,DNVU5667800695,Ties de Vries,7221NZ,435,False,False,False,,0.0,9.0
170,1994-03-09,019423573,NDWI1361566290,Fem Booden,2142 MP,83,False,False,False,,0.0,9.0
171,1980-09-27,946583213,IXNM6095258592,Dion Cornelisz-de Mol,9478 WO,740,False,False,False,,0.0,9.0
172,1980-07-28,546123788,KTGT1987663919,Jurre Bloemendaal,2086EJ,5,False,False,False,,0.0,9.0
173,2006-10-07,352816041,GITC1933746113,Nadia Vial,6591SS,2,False,False,False,,0.0,9.0
174,1973-04-27,607529131,OLEI7115674211,Elisa Smith-van Beieren,7497OP,274,False,False,False,,0.0,9.0
175,1990-08-24,469127302,OVTO9556881845,Nynke van Gorp-Holthuis,7766 PL,23,False,False,False,,0.0,9.0
176,1983-01-12,071236855,UUBC0021553204,Rik Kof,4553 IB,7,False,False,False,,0.0,9.0
177,1962-11-27,362874104,IAKU5083009111,Arthur van Henegouwen,2269 LT,50,False,False,False,,0.0,9.0
178,1998-08-24,126954380,VOMO1434539059,Mette Wolffel-van Asten,8060 US,226,False,False,False,,0.0,9.0
179,1962-08-27,541876922,FTRR1243709711,James Nollee,1518 XF,06,False,False,False,,0.0,9.0
180,1965-02-11,073598641,KDYZ7902838042,Eliza Jansse,3573UM,256,False,False,False,,0.0,9.0
181,1959-01-09,217609454,YZES0048037844,Lynn van Oirschot,9212 KV,8,False,False,False,,0.0,9.0
182,1975-03-26,740385963,RUJN7783067716,Elise Symons,5303 DH,925,False,False,False,,0.0,9.0
183,1960-09-21,560874236,RKQI7873288752,Eliza van den Velde,3049 FX,155,False,False,False,,0.0,9.0
184,1985-07-20,832645904,QTLE9725567285,Megan Peterse,9670RR,43,False,False,False,,0.0,9.0
185,1999-06-28,912074358,UBRJ2475389916,Annemijn Boeser,2309 QA,84,False,False,False,,0.0,9.0
186,1974-08-20,169304723,RBRW3450852738,Pleun Vegt,9096WV,23,False,False,False,,0.0,9.0
187,1989-10-13,403186572,KEBQ7990226289,Mia Hazenveld-Cornelisz,1606 AO,71,False,False,False,,0.0,9.0
188,2000-11-15,905718239,JKDP2739825578,Oscar Molen-Cadefau,5284 IN,2,False,False,False,,0.0,9.0
189,2000-01-25,547261901,TFDA9904659324,Julius van den Eerenbeemt-van Gelder,4259KW,395,False,False,False,,0.0,9.0
190,1978-02-06,635271400,LEOC1594049647,Fabiënne Steinmeiern,5763 SR,6,False,False,False,,0.0,9.0
191,1982-06-04,254786108,KKDQ1468818274,Eline van den Bergh-Mol,6720 AG,25,False,False,False,,0.0,9.0
192,1995-10-16,460753186,VFSK2580200417,Ravi Emmen,2976 LN,06,False,False,False,,0.0,9.0
193,2007-08-29,203765813,WXIR4786693424,Hanna Bouthoorn-Zaal,2686IK,81,False,False,False,,0.0,9.0
194,1995-10-06,732869043,RLJD1818340314,Ibrahim Bouthoorn,5138 XS,742,False,False,False,,0.0,9.0
195,2007-10-31,825076948,LIZN3383498818,Janne Kleybrink-van Berkum,8439PZ,916,False,False,False,,0.0,9.0
196,1995-09-19,427190356,YTID9925469261,Sebastiaan van der Sloot-Cant,8494 SO,17,False,False,False,,0.0,9.0
197,1979-01-30,902453762,GXOK0101788046,Jade van den Eerenbeemt,5453 AW,778,False,False,False,,0.0,9.0
198,1996-08-03,482375012,TEKX6009763092,Elena van de Berg,6290XC,90,False,False,False,,0.0,9.0
199,1989-03-31,740362987,BJLY9906817303,Lisanne Huijs-de Jode Vastraedsd,2842UI,94,False,False,False,,0.0,9.0
200,1987-11-14,397015483,MNDM0236529682,Nynke Haengreve,6218 ZS,7,False,False,False,,0.0,9.0
201,1996-11-14,795281031,BYMR8984196682,Jake de Bruin-van den Velden,3004 TW,2,False,False,False,,0.0,9.0
202,1971-08-11,096387142,AFTA7130712080,Sterre Room,2565PM,7,False,False,False,,0.0,9.0
203,1985-05-27,853049622,JGUC1597146717,Berat Schellekens,8342 CC,1,False,False,False,,0.0,9.0
204,1959-02-18,158263741,BASW6545885699,Ceylin van der Linden,7135 DS,261,False,False,False,,0.0,9.0
205,1964-12-27,790315828,YHTK9182392598,Amina van Landen,1472 VS,933,False,False,False,,0.0,9.0
206,1970-05-12,390861753,NPNC6786448947,Sophie Eijkelboom,6390KE,1,False,False,False,,0.0,9.0
207,1996-02-20,863529173,KCTP2771644370,Stefan Goyaerts van Waderle,8351 HA,0,False,False,False,,0.0,9.0
208,1961-12-28,413765982,SJPU6880353903,Lise Kosten-van Hamaland,4592IW,7,False,False,False,,0.0,9.0
209,1983-08-14,427651980,PUID8470435762,Dion Totwiller-Doesburg,5979DJ,412,False,False,False,,0.0,9.0
210,1999-06-06,931657283,PFIU7471767999,Tijmen Ruijs-Rademaker,3045 ZJ,76,False,False,False,,0.0,9.0
211,1974-02-28,807329459,TGRU2199607389,Mare Schellekens,3967ND,87,False,False,False,,0.0,9.0
212,1993-09-29,584793200,YTVO5521163984,Stef Boddaugh,8961WL,36,False,False,False,,0.0,9.0
213,1973-12-10,901627355,IFXJ8703751611,Elena Oosterhout,7783 OB,5,False,False,False,,0.0,9.0
214,1997-04-02,912807635,AEFI0475992056,Bryan Emmen,7884IN,4,False,False,False,,0.0,9.0
215,1985-09-16,462381055,UBZO2053210338,Merijn van Saksen,9087KG,007,False,False,False,,0.0,9.0
216,1988-06-26,804769126,WHZJ2491090422,Imke van Limburg-van Wassenaar,8474 QM,9,False,False,False,,0.0,9.0
217,1961-07-27,253906489,YGZH0029934445,Chloë van de Klashorst,9997 XJ,8,False,False,False,,0.0,9.0
218,1968-10-05,689120746,DZNI6401089745,Isabelle Jaceps,2484QU,2,False,False,False,,0.0,9.0
219,1969-03-25,164870350,HWXB8420583666,Fem Wolfsdr,1855 GQ,70,False,False,False,,0.0,9.0
220,1963-03-11,084395278,IQLR4206930037,Berat Wolffel,6706GN,80,False,False,False,,0.0,9.0
221,1975-08-16,943681509,WKHF9624233854,Lauren Bronder,7127RN,21,False,False,False,,0.0,9.0
222,2005-11-06,928106573,WWZF6167406411,Sam Janssens,7621 YD,5,False,False,False,,0.0,9.0
223,1982-06-11,172948034,FUAU7288836785,Bas Molegraaf,3614RK,685,False,False,False,,0.0,9.0
224,2004-06-26,830457124,GYZU4039366286,Jack Merkx,9290WI,13,False,False,False,,0.0,9.0
225,1963-11-13,761543909,JWXY6570305634,Esmee Neuteboom,9622 GN,5,False,False,False,,0.0,9.0
226,1977-11-19,247953684,YHNP4886074079,Nisa Blom,6747 ZU,5,False,False,False,,0.0,9.0
227,2005-06-30,546082191,UZUN9690945173,Guusje de Groot,5198 EH,3,False,False,False,,0.0,9.0
228,2007-08-25,968205379,QNPP1328580864,Olivier Moensendijk,6210SX,91,False,False,False,,0.0,9.0
229,1962-03-07,734615292,BRWG4214871292,Kiki le Guellec,2641LF,87,False,False,False,,0.0,9.0
230,1979-02-26,978341569,TJSW0232769881,Danique Rouwenhorst,3792 SK,466,False,False,False,,0.0,9.0
231,1996-10-25,648293750,JOYC2112244153,Hidde Gepa van Bourgondië,3278CD,063,False,False,False,,0.0,9.0
232,1981-07-09,905734683,LAFQ5012711896,Sjoerd Goedhart,9673EF,61,False,False,False,,0.0,9.0
233,1962-05-28,912670356,EDQW7954351266,Carlijn Scharroo,8404JF,2,False,False,False,,0.0,9.0
234,1977-01-08,742865198,JEUI1844946535,Thijmen Lambregt-Verhoeven,1158 ZO,602,False,False,False,,0.0,9.0
235,1985-12-05,271453904,VDWZ9572509215,Brent Driessen,1744 LV,1,False,False,False,,0.0,9.0
236,1979-01-03,741362594,XHPT2609481436,Aiden Stichter,1971 CK,400,False,False,False,,0.0,9.0
237,1964-12-08,483561071,YDAF4984408518,Catharina Honing,8208NF,356,False,False,False,,0.0,9.0
238,1985-07-23,961027356,YSDM3406560528,Aya Huijbrechts,9570HE,923,False,False,False,,0.0,9.0
239,1975-08-23,419586234,FMEJ6397066053,Faas Gepa van Bourgondië,1627SZ,3,False,False,False,,0.0,9.0
240,1957-06-12,306148596,MVDS7154557555,Dion Dennenberg,3839 GV,48,False,False,False,,0.0,9.0
241,1988-09-08,593724100,NFMB1606047498,Veerle Uittenbosch,9555 NE,83,False,False,False,,0.0,9.0
242,1991-10-21,742318059,KBWS5677888389,Inaya van Dijk-van Riet,5659 VO,871,False,False,False,,0.0,9.0
243,1986-04-29,192763805,GRMP3482932601,Joshua Schulten,4164PN,6,False,False,False,,0.0,9.0
244,1995-12-17,230485169,NHMH5027171601,Maurits de Bock-Rouwenhorst,5936JY,4,False,False,False,,0.0,9.0
245,2005-09-26,470185934,MNHK5695253304,Megan van Luxemburg,5847RH,7,False,False,False,,0.0,9.0
246,1992-09-09,901746526,YWQR0918883602,Quinten Oosterhout-de Keijzer,2495 RG,06,False,False,False,,0.0,9.0
247,1978-04-25,915308423,MCEH9958410796,Ella Aertsz,9756GR,2,False,False,False,,0.0,9.0
